index,sku,name,desc,in_stock,type,price,category
35,APP0367,Apple Mini DisplayPort to DVI Adapter Mac dual channel,Adapter Mini Display Port to DVI dual channel MacBook MacBook Pro and MacBook Air.,0,1325,119.0,Connectivity & Adapters
36,KIN0002-2,Mac memory Kingston 2GB (2x1GB) 667MHz DDR2 SO-DIMM,RAM 2GB (2x1GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,0,1364,37.98,"NAS, HDD, SSD, Memory stick and cards"
37,KIN0003-2,Mac memory Kingston 4GB (2x2gb) SO-DIMM DDR2 800MHz,RAM 4GB (2x2gb) iMac with Intel Core 2 Duo (Penryn).,0,1364,73.98,"NAS, HDD, SSD, Memory stick and cards"
38,MOS0065,Moshi TeraGlove cleaner screens,Microfibre screen cleaner for Mac iPhone iPad and iPod.,0,12355400,20.0,Electronic Devises
39,WAC0032,Wacom Bamboo Stylus Pack 3 first generation tips,3 Pack Bamboo Stylus pen tips iPad iPhone and iPod Touch.,0,1229,4.99,"Input devices, styluses"
40,SPE0045,"Speck SeeThru Satin Case Macbook Air 11 ""Black",rigid housing MacBook Air 11 inches,0,13835403,49.9,"Protection, Cases, Backpacks"
41,LAC0141,LaCie Porsche Design 1TB External Hard Drive Mac and PC,External Hard Drive Mac and PC USB 3.0 1TB,0,11935397,79.99,"NAS, HDD, SSD, Memory stick and cards"
42,HGD0012,Henge Docks Click keyboard support iMac,Base to hold the Apple Magic TrackPad and Wireless Keyboard Dock,0,8696,29.0,"Charging Dock, Chargers, Stands, Supports"
43,MAK0008,Maclocks theft case iPad 2 3 and 4 black with rotary support,Case antitheft iPad 2 3 and 4 polycarbonate rotary support.,0,12635403,120.0,"Protection, Cases, Backpacks"
44,MAK0007,Maclocks theft case iPad 2 3 and 4 transparent rotary support,Case antitheft iPad 2 3 and 4 polycarbonate rotary support.,0,12635403,120.0,"Protection, Cases, Backpacks"
45,MAK0009,Maclocks theft case iPad 2 3 and 4 transparent,Case antitheft iPad 2 3 and 4 polycarbonate support and lock.,0,12635403,79.99,"Protection, Cases, Backpacks"
46,SEA0039,"Seagate Barracuda 2TB 35 ""SATA hard drive Mac and PC",Internal Hard Drive 2TB Mac and PC (ST2000DM006),1,12655397,89.99,"NAS, HDD, SSD, Memory stick and cards"
47,SYN0047,Synology Pack 1 license for IP camera,1 Pack license Mac and PC camera.,1,1404,52.99,Electronic Devises
48,SYN0048,Synology Pack 4 IP camera licenses,4 Pack licenses Mac and PC camera.,0,1404,181.99,Electronic Devises
49,WAC0040,Wacom Bamboo Wireless Kit / Intuos graphics tablet accessory kit 5,Wireless Kit Wacom graphics tablets.,1,101781405,39.99,Tablets
50,WAC0045,Wacom Intuos Airbrush stylus 4/5,stylus for pen tablets Cintiq 21UX Intuos 4/5 - 24HD,0,1229,109.9,"Input devices, styluses"
51,WAC0046,Intuos Wacom stylus ArtPen 5/4,special stylus Mac and PC for Intuos4 graphics tablet / 5.,0,1229,109.9,"Input devices, styluses"
52,SEA0044,"Seagate Barracuda 3TB 35 ""SATA hard drive Mac and PC",internal hard drive Mac and PC 3TB (ST3000DM008).,1,12655397,112.0,"NAS, HDD, SSD, Memory stick and cards"
53,OTR0045,External Slim Case for SuperDrive MacBook / MacBook Pro,External SuperDrive case for MacBook and MacBook Pro.,1,12995397,35.0,"NAS, HDD, SSD, Memory stick and cards"
54,IKM0013,IK Multimedia iRig MIX DJ Mixer iPhone iPad and iPod,Dj mixer iPhone iPad and iPod.,0,11905404,121.99,Electronic Devises
55,IKM0014,IK Multimedia iRig Stomp Guitar Pedal iPhone iPad and iPod,Guitar Pedal iPhone iPad and iPod.,0,11905404,73.19,Electronic Devises
56,IKM0015,IK Multimedia iRig PRE microphone adapter iPhone iPad and iPod,Microphone Adapter iPhone iPad and iPod.,1,11905404,48.79,Electronic Devises
57,IKM0016,IK Multimedia iRig MIC Cast iPhone iPad and iPod microphone,iPhone iPad and iPod microphone.,0,11905404,48.79,Electronic Devises
58,PAC0023,OWC Data Doubler Pack MacBook / MacBook Pro,Pack Replacement Superdrive for SSD / HDD + box Super Slim Superdrive + Tools.,1,12755395,107.99,Connectivity & Adapters
59,HGD0015,"Henge Docks Docking Station MacBook Air 13 """,Dock MacBook Air 13-inch multi-function.,1,8696,79.99,"Charging Dock, Chargers, Stands, Supports"
60,OWC0008,OWC Data Doubler Optical Bay Adapter Mac Mini (2009) iMac (2009-11),Tray substitution of superdrive by hard drive 25 inches.,1,12755395,72.99,Connectivity & Adapters
61,WAC0054,Wacom Bamboo Pen (pen parts for CTL-470K),Replacement pen for CTL-470K.,0,1229,34.9,"Input devices, styluses"
62,WAC0055,Wacom Intuos Professional Accessory Kit,Intuos accessory kit.,0,101781405,24.9,Electronic Devises
63,MAK0015,Stick Maclocks silver metal safely iPad,Security lock plate steel iPad.,0,12085400,49.99,Electronic Devises
64,SEA0049,"Seagate Barracuda 1TB Hard Drive 35 ""SATA for Mac and PC",internal hard drive Mac and PC 1TB (ST1000DM010),1,12655397,59.0,"NAS, HDD, SSD, Memory stick and cards"
65,APP0390,"Apple MacBook Pro 133 ""Core i5 25GHz | 4GB RAM | 500GB HDD",MacBook Pro laptop 133 inches (MD101Y / A).,0,1282,1199.0,Apple iMac
66,PAC0185,"Apple MacBook Pro 133 ""i5 25GHz | RAM 16GB | 275GB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with 275GB SSD.,0,1282,1639.0,Apple iMac
67,PAC1181,"Apple MacBook Pro 133 ""i5 25GHz | 16GB RAM | 1TB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,0,1282,2159.0,Apple iMac
68,PAC1240,"Apple MacBook Pro 133 ""i5 25GHz | RAM 16GB | 525GB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,0,1282,1899.0,Apple iMac
69,APP0490,Apple Airport Express,Airport Express base station 802.11a / b / g / n.,0,1334,109.0,Routers
70,APP0399,Apple Thunderbolt to Gigabit Ethernet Adapter Mac,Mac adapter Thunderbolt to Gigabit Ethernet (MD463ZM / A).,1,1325,35.0,Connectivity & Adapters
71,SNN0016,Sonnet XMAC mini Server,Turn your Mac mini Server Rack format,0,12175397,1208.79,"NAS, HDD, SSD, Memory stick and cards"
72,KAN0009,Kanex ATV Pro HDMI to VGA adapter,HDMI to VGA adapter that supports audio.,0,1325,59.95,Connectivity & Adapters
73,APP0400,Apple MagSafe to MagSafe converter 2,MagSafe to MagSafe converter 2.,0,1325,12.0,Connectivity & Adapters
74,APP0407,Apple USB SuperDrive (June 2012 Model),New CD / DVD retina MacBook Pro MacBook Air iMac Mac Pro and Mac Mini.,1,1424,89.0,Apple MacBook
75,APP0408,Apple 45W MagSafe 2 charger MacBook Air,Charger MacBook Air MagSafe 2 of 45 W (MD592Z / A).,0,13005399,89.0,"Charging Dock, Chargers, Stands, Supports"
76,APP0409,Apple 85W MagSafe 2 charger MacBook Pro Retina screen 15 '',MagSafe charger 2 of 85 W (MD506Z / A).,1,13005399,89.0,"Charging Dock, Chargers, Stands, Supports"
77,DLK0008,D-Link DCS-932L Wireless IP Camera Cloud,Wireless network camera day and night home with my DLink.,0,9094,79.99,"Cameras, Security system"
78,DLK0009,D-Link DCS-942L Wireless IP Camera Cloud,security camera with Wi-Fi or Ethernet night vision and motion sensor application for iPhone and iPad,0,9094,169.99,"Cameras, Security system"
79,ROL0010,Rollei Chest Mount iPhone 4 / 4S,Case iPhone 4 / 4S for sport.,0,11865403,4.9990000000000006,"Protection, Cases, Backpacks"
80,DLK0011,D-Link DUB-1340 Hub 4 x SuperSpeed ​​USB 3.0 Mac and PC,Dlink USB Hub Mac and PC 4 port.,0,12995397,64.0,"NAS, HDD, SSD, Memory stick and cards"
81,DLK0012,D-Link DUB-H7 Hub 7 x Hi-Speed ​​USB Mac and PC,Dlink USB Hub Mac and PC 7 ports.,0,12995397,33.99,"NAS, HDD, SSD, Memory stick and cards"
82,WDT0140,"Red 2TB WD 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 2TB (WD20EFRX).,1,12655397,99.0,"NAS, HDD, SSD, Memory stick and cards"
83,WDT0141,"WD Red 3TB 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 3TB (WD30EFRX).,1,12655397,129.0,"NAS, HDD, SSD, Memory stick and cards"
84,WDT0183,"Red 4TB WD 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 4TB (WD40EFRX).,1,12655397,169.0,"NAS, HDD, SSD, Memory stick and cards"
85,WDT0249,"WD Red 6TB 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 6TB (WD60EFRX).,1,12655397,255.0,"NAS, HDD, SSD, Memory stick and cards"
86,WDT0318,"WD Red 8TB 35 ""Mac PC hard drive and NAS",Western Digital Hard Drive 8TB 35 inch SATA 6 Gb / s for small businesses and home.,1,12655397,359.0,"NAS, HDD, SSD, Memory stick and cards"
87,WDT0395,"WD Red 10TB 35 ""Mac PC hard drive and NAS",Western Digital Hard Drive 10TB 35-inch SATA 6 Gb / s for small businesses and home.,1,12655397,439.0,"NAS, HDD, SSD, Memory stick and cards"
88,WAC0030,Wacom Cintiq 22HD Interactive Pen Display Mac and PC,LCD graphic display with 215-inch Full HD and pencil precision for Mac and PC,0,1405,1799.0,Monitors
89,NTE0044,"NewerTech windy 225 ""for iMac",Suction cup 225 inches for aluminum iMac.,1,14305406,11.99,"Repair service, Install kit, Extended warranty"
90,OWC0020,Envoy OWC USB 3.0 Case for MacBook Air SSD 2010/2011,Box Portable External USB 2.0 / 3.0 for MacBook Air SSD.,1,11935397,60.99,"NAS, HDD, SSD, Memory stick and cards"
91,NTE0012,NewerTech universal adapter IDE / SATA to USB 3.0,High speed universal adapter HDD / SSD to USB 3.0.,1,1325,54.99,Connectivity & Adapters
92,NTE0013,"AdaptaDrive NewerTech adapter 2.5 ""to 3.5"" SATA",Adapter HDD / SSD 2.5 SATA 3.5 compatible with Mac Pro.,1,12755395,26.99,Connectivity & Adapters
93,NTE0014,NewerTech eSATA to USB 3.0 Adapter,High-speed eSATA adapter to USB 3.0.,0,1325,36.99,Connectivity & Adapters
94,OWC0024,OWC Mount Adapter 25-35 Pro Mac Pro (2009-2012),SSD hard drive adapter or 2.5 for Mac Pro.,1,12755395,35.99,Connectivity & Adapters
95,NTE0015,NewerTech NuStand Support Mac Mini Silver Alloy,Elegant support for MacMini 2010 and later,0,8696,30.99,"Charging Dock, Chargers, Stands, Supports"
96,NTE0017,"NewerTech NuPower Battery MacBook 13 ""white",133 inch MacBook battery (White Model).,1,10142,119.99,Batteries
97,NTE0018,"NewerTech NuPower Battery MacBook 13 ""Black",133 inch MacBook battery (Black Model).,1,10142,119.99,Batteries
98,NTE0020,"NewerTech NuPower battery MacBook Pro 15 ""(Late 2008 - Early 2009)",Battery MacBook Pro 15-inch Unibody late 2008 and early 2009,1,10142,119.99,Batteries
99,NTE0021,"NewerTech NuPower Battery MacBook 13 ""Aluminum",battery MacBook 13-inch (Aluminum Model).,1,10142,119.99,Batteries
100,OWC0028,"OWC SSD installation Kit for iMac 215 ""(2011)",Installation kit for iMac SSD 215 inches (2011).,1,14305406,60.99,"Repair service, Install kit, Extended warranty"
101,OWC0013,OWC Kit of 5 tools for Mac and PC,Kit of 5 tools for repair / extension Mac.,1,14305406,6.99,"Repair service, Install kit, Extended warranty"
102,OWC0026,"Installation Kit OWC SSD Hard Drive 25 ""Mac mini 2011/2012",Installation Kit HDD or SSD for Mac mini 2011 Late 2012 Mid tools,1,14305406,54.99,"Repair service, Install kit, Extended warranty"
103,OWC0027,"OWC SSD installation kit for iMac 27 ""2011",SSD installation on iMac 27-inch Mid 2011 Kit,1,14305406,60.99,"Repair service, Install kit, Extended warranty"
104,OWC0029,"OWC SSD installation Kit for iMac 27 ""(2010)",Installation Kit SSD iMac 27-inch (model 2010).,1,14305406,60.99,"Repair service, Install kit, Extended warranty"
105,NTE0010,NewerTech iPhone Kit tools,7 Kit tools needed for iPhone 4 / 4S,1,12645406,15.99,"Repair service, Install kit, Extended warranty"
106,APP0410,Apple Thunderbolt to FireWire 800 adapter,Adapter Thunderbolt to Firewire 800 connection.,1,1325,35.0,Connectivity & Adapters
107,STM0038,"STM Bags Small Alley Backpack MacBook Pro 13 ""black coal",Slingbag MacBook Pro 13-inch.,1,10230,40.0,"Protection, Cases, Backpacks"
108,NTE0022,"NewerTech NuPower battery MacBook Pro 17 ""(2006-2008)",MacBook Pro 17 inch battery.,0,10142,145.99,Batteries
109,OWC0025,"SSD expansion kit OWC Aura Pro 6G 240GB MacBook Air 11 ""and 13"" 2012",SSD 240GB expansion for MacBook Air 11-inch and 13-inch 2012 Kit tools,1,12215397,241.99,"NAS, HDD, SSD, Memory stick and cards"
110,NTE0023,NewerTech eSATA Cable Adapter Mac Pro,Add 2 eSATA ports with the adapter cable for Mac Pro.,1,12755395,3.099,Connectivity & Adapters
111,OWC0009,OWC Case External SuperSlim for SuperDrive MacBook / MacBook Pro,Black External Case for Apple SuperDrive.,1,11935397,48.99,"NAS, HDD, SSD, Memory stick and cards"
112,OWC0039,"OWC Mercury On-The-Go Pro Mini transparent box 25 ""FW800 / FW400 / USB3",outer case 25 inch SATA connection FW800 / FW400 / USB 3.0.,1,11935397,96.99,"NAS, HDD, SSD, Memory stick and cards"
113,OWC0040,"OWC Mercury On-The-Go Pro Mini transparent box 25 ""USB3 / USB2",outer case 25 inch SATA USB 3.0 and 2.0.,1,11935397,54.99,"NAS, HDD, SSD, Memory stick and cards"
114,OWC0228,OWC Tools MacBook Air 2010 and MacBook Pro Retina back and Torx5 & Torx Plus pentalobe,2 Kit tools for repair / expansion MacBook Air 2010 and MacBook Pro Retina and posterior (all models),0,14305406,15.99,"Repair service, Install kit, Extended warranty"
115,OWC0015,"OWC Aura expansion kit 6G SSD 120GB MacBook Air 11 ""and 13"" 2010 to 2011",120GB SSD expansion for MacBook Air 11-inch and 13-inch Late 2010 to Mid 2011 Kit tools,1,12215397,144.99,"NAS, HDD, SSD, Memory stick and cards"
116,MUV0042,Clear Back Case Muvit iPhone / 5s / 5 transparent,iPhone back cover tranparente SE / 5s / 5.,0,11865403,9.99,"Protection, Cases, Backpacks"
117,APP0434,Apple 5W USB power adapter iPhone and iPod,USB Power Adapter 5W 1A for iPhone iPod and Apple Watch.,1,14365395,25.0,Connectivity & Adapters
118,APP0435,Apple Lightning to 30-pin adapter iPhone 5 / 5S iPad mini and iPod,Lightning connector adapter 30-pin iPhone 5 / 5S and 5G iPod Touch Nano 7G (02m).,0,14365395,45.0,Connectivity & Adapters
119,APP0436,Apple Lightning adapter to 30-pin connector,Lightning adapter connector 30-pin iPhone 5 iPod Touch 5 iPod Nano 7.,0,14365395,35.0,Connectivity & Adapters
120,APP0437,Apple EarPods headset with microphone connector Jack iPad and iPod,IPhone iPad and iPod headphones with microphone and remote.,1,5384,35.0,"Sound, Headphones, Players"
121,APP0438,Apple Lightning connector cable to USB 1m White,Lightning USB cable 1 meter to charge and sync iPhone iPad and iPod.,1,1230,25.0,Cables
122,REP0036,Full screen repair iPhone 4,Repair service including parts and labor for iPhone 4,0,"1,44E+11",49.99,"Repair service, Install kit, Extended warranty"
123,REP0041,battery repair iPhone 4,Repair service including parts and labor for iPhone 4,0,"1,44E+11",29.99,"Repair service, Install kit, Extended warranty"
124,REP0050,Headset calls iPhone 4 Repair,Repair service including parts and labor for iPhone 4,0,"1,44E+11",39.99,"Repair service, Install kit, Extended warranty"
125,OWC0041,Mac OWC Memory 4GB DDR3 1066MHZ SO-DIMM,4GB RAM Mac mini iMac MacBook and MacBook Pro (2008/10).,1,1364,43.99,"NAS, HDD, SSD, Memory stick and cards"
126,OWC0042,Mac OWC Memory 4GB DDR3 1333MHZ SO-DIMM,4GB RAM Mac mini iMac (2010/11) and MacBook Pro (2010/11).,1,1364,46.99,"NAS, HDD, SSD, Memory stick and cards"
127,OWC0043,Mac OWC Memory 8GB 1333MHZ DDR3 SO-DIMM,8GB RAM Mac mini iMac (2010/11) and MacBook Pro (2010/11).,0,1364,99.99,"NAS, HDD, SSD, Memory stick and cards"
128,OWC0035-2,Mac memory OWC 8GB (2x4GB) SO-DIMM DDR3 1066MHZ,RAM 8GB (2x4GB) Mac mini iMac MacBook and MacBook Pro (2008/10).,1,1364,87.98,"NAS, HDD, SSD, Memory stick and cards"
129,OWC0036-2,Mac memory OWC 8GB (2x4GB) SO-DIMM DDR3 1333MHZ,RAM 8GB (2x4GB) Mac mini (2011) iMac (2010-2011) MacBook Pro (2011).,1,1364,93.98,"NAS, HDD, SSD, Memory stick and cards"
130,REP0060,iPhone 4s battery repair,It is including parts and labor for iPhone 4s,0,"1,44E+11",29.99,"Repair service, Install kit, Extended warranty"
131,REP0068,Headset calls iPhone 4s repair,Repair service including parts and labor for iPhone 4s,0,"1,44E+11",39.99,"Repair service, Install kit, Extended warranty"
132,SYN0063,Synology DX513 expansion NAS Mac and PC,Expansion unit 5 bays.,0,12175397,423.99,"NAS, HDD, SSD, Memory stick and cards"
133,REP0073,Repair Touch Screen iPad (1st generation),Repair service including parts and labor for iPad,0,"1,44E+11",99.99,"Repair service, Install kit, Extended warranty"
134,REP0074,LCD screen repair iPad (1st generation),Repair service including parts and labor for iPad,0,"1,44E+11",115.99,"Repair service, Install kit, Extended warranty"
135,REP0080,repair battery cases (1st generation),Battery Repair Service includes parts and labor for iPad,0,"1,44E+11",69.99,"Repair service, Install kit, Extended warranty"
136,REP0081,Connector repair charge cases (1st generation),Repair service including parts and labor for iPad,0,"1,44E+11",79.99,"Repair service, Install kit, Extended warranty"
137,REP0084,iPad 2 LCD screen repair,Repair service including parts and labor for iPad 2,0,"1,44E+11",129.99,"Repair service, Install kit, Extended warranty"
138,REP0091,Wi-Fi antenna repair Apple iPad 2,Repair service including parts and labor for iPad 2,0,"1,44E+11",69.99,"Repair service, Install kit, Extended warranty"
139,REP0092,Repair Speaker lower iPad 2,Repair service including parts and labor for iPad 2,0,"1,44E+11",69.99,"Repair service, Install kit, Extended warranty"
140,REP0093,iPad 2 battery repair,Repair service including parts and labor for iPad 2,0,"1,44E+11",69.99,"Repair service, Install kit, Extended warranty"
141,REP0098,volume button repair on vibration control and flexo iPad 3,Repair Service includes parts and labor iPad 3,0,"1,44E+11",69.99,"Repair service, Install kit, Extended warranty"
142,DLK0018,D-Link DES-1005D Switch 5 10 / 100Mbps,Dlink Switch 5 Mac and PC ports.,0,1334,14.99,Routers
143,DLK0019,D-Link DES-1008D Switch 8 10 / 100Mbps unmanaged,Dlink Switch 8 Mac and PC ports.,0,1334,15.99,Routers
144,DLK0020,D-Link DES-1024D Switch 24 10 / 100Mbps,Switch Dlink 24 ports Rack Mac and PC format.,1,1334,77.49,Routers
145,PAC0272,OWC Mercury On-The-Go Pro Mini 1TB Hard Drive Mac and PC,Pack outer case 25 inch connections FW800 / FW400 / USB3 + HDD 1TB.,1,11935397,159.98,"NAS, HDD, SSD, Memory stick and cards"
146,PAC0271,OWC Mercury On-The-Go Pro Mini Hard Drive 1TB Mac and PC,Pack outer box 25 inches + 1TB Hard Drive USB 3.0.,1,11935397,184.98,"NAS, HDD, SSD, Memory stick and cards"
147,KIN0074,Kingston DataTraveler SE9 8GB USB 2.0 key,8GB USB 2.0 key minimalist design.,0,57445397,4.99,"NAS, HDD, SSD, Memory stick and cards"
148,KIN0072,Kingston DataTraveler SE9 16GB USB 2.0 key,16GB USB 2.0 key minimalist design.,0,57445397,7.0,"NAS, HDD, SSD, Memory stick and cards"
149,KIN0073,Kingston DataTraveler SE9 32GB USB 2.0 key,32GB USB 2.0 key minimalist design.,0,57445397,14.99,"NAS, HDD, SSD, Memory stick and cards"
150,REP0111,Full screen repair iPhone 4S,Repair service including parts and labor for iPhone 4s,0,"1,44E+11",49.99,"Repair service, Install kit, Extended warranty"
151,MOS0078,Moshi iGlaze iPhone Case SE / 5s / 5 Black,rigid shell with silver rim iPhone SE / 5s / 5,1,11865403,30.0,"Protection, Cases, Backpacks"
152,MOS0080,Moshi iGlaze iPhone Case SE / 5s / 5 white,hard case for iPhone SE / 5s / 5,0,11865403,30.0,"Protection, Cases, Backpacks"
153,MOS0082,Moshi iGlaze XT iPhone Case SE / 5s / 5 transparent,Rigid shell snap on iPhone SE / 5s / 5.,1,11865403,30.0,"Protection, Cases, Backpacks"
154,APP0483,Apple Lightning to VGA Adapter,Lightning connector adapter to VGA.,0,1230,59.0,Cables
155,GRT0264,Griffin CinemaSeat Case for iPad mini / black Retina,IPad mini car cover neoprene support.,0,12635403,39.99,"Protection, Cases, Backpacks"
156,GRT0265,Griffin Survivor Case iPad mini 1/2/3 Black,IPad mini sleeve ultra-resistant for extreme conditions.,0,12635403,59.99,"Protection, Cases, Backpacks"
157,APP0464,Apple adapter 12 W USB iPhone iPod and iPad,USB Power Adapter 12 W for iPhone iPad and iPod.,1,5395,25.0,Connectivity & Adapters
158,APP0474,"Apple 60W MagSafe 2 charger MacBook Pro Retina Display 13 """,MagSafe charger 2 of 60 W (MD565Z / A).,0,13005399,89.0,"Charging Dock, Chargers, Stands, Supports"
159,APP0481,Apple Lightning to USB adapter for cameras,Lightning connector adapter USB camera (MD821ZM / A).,0,5395,35.0,Connectivity & Adapters
160,APP0482,Adapter Apple Lightning to SD Card Reader,Lightning connector adapter to SD card reader (MD822ZM / A).,0,5395,35.0,Connectivity & Adapters
161,APP0484,Apple Digital AV Adapter to Lightning,Lightning adapter connector to digital AV (MD826ZM / A).,1,5395,59.0,Connectivity & Adapters
162,OWC0045,Mac OWC Memory 4GB DDR3 1600MHZ SO-DIMM,4GB RAM MacBook Pro and Mac mini iMac (2012).,1,1364,46.99,"NAS, HDD, SSD, Memory stick and cards"
163,OWC0039-2,Mac memory OWC 8GB (2x4GB) SO-DIMM DDR3 1600MHZ,RAM 8GB (2x4GB) MacBook Pro iMac Mac mini (2012) and iMac 5K Retina 27-inch (2014).,1,1364,93.98,"NAS, HDD, SSD, Memory stick and cards"
